CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
11497-WEPVD13546KV01006,127.73843749999999,136.66171875,325,2006,6952.09406158078
11502-WEKHT3S38J3H32951,22.826666666666668,20.666666666666668,X1,2018,8485.5
11502-WEKPS93479WJ25938,179.715,24.625,X3,2009,16103.666666666666
11502-WEP1V7S57VV367229,81.55239999999999,54.37,228,2015,15557.197333333334
11502-WEPKV3S59SE975164,41.23111111111112,42.72222222222222,328,2012,15210.5
11502-WEPWS33588PD08191,40.226,31.639999999999997,328,2008,16457.0
11502-WESKG9S55EE797182,82.61708333333333,83.8275,M3,2011,8621.805555555557
11502-WESWD93588PY39061,845.155,215.488,M3,2008,13500.875
11506-5QKVE53524LV00303,313.4013636363636,270.92,X5,2004,17233.461056998556
11506-WEPLZ3S56SS397502,106.06,65.4,650,2012,4443.375
11522-4QSET33443LR63030,275.87333333333333,139.20000000000002,Z4,2003,10435.818181818182
11524-WEPHL83526DT05899,0.0,139.0,750,2006,10030.166666666666
